sample,thin_sample,who,which,forward,value
37,37,kids,CCOM,None,0.040444
37,37,kids,COCM,None,0.029454
37,37,kids,COOM,None,0.037004
38,38,kids,CMOM,None,0.063487
38,38,kids,OMCM,None,0.044551
38,38,kids,CMCM,None,0.060198
38,38,kids,OOCM,None,0.330547
38,38,kids,OCOM,None,0.098645
38,38,kids,OOMM,None,0.145162
38,38,kids,CCMM,None,0.064767
38,38,kids,OCCM,None,0.052960
38,38,kids,OMOM,None,0.031069
38,38,kids,CCOM,None,0.029857
38,38,kids,COCM,None,0.036701
38,38,kids,COOM,None,0.042056
39,39,kids,CMOM,None,0.070810
39,39,kids,OMCM,None,0.045974
39,39,kids,CMCM,None,0.079555
39,39,kids,OOCM,None,0.251065
39,39,kids,OCOM,None,0.090826
39,39,kids,OOMM,None,0.160457
39,39,kids,CCMM,None,0.076424
39,39,kids,OCCM,None,0.072378
39,39,kids,OMOM,None,0.037387
39,39,kids,CCOM,None,0.032979
39,39,kids,COCM,None,0.032611
39,39,kids,COOM,None,0.049533
40,40,kids,CMOM,None,0.041781
40,40,kids,OMCM,None,0.049766
40,40,kids,CMCM,None,0.078907
40,40,kids,OOCM,None,0.330262
40,40,kids,OCOM,None,0.080153
40,40,kids,OOMM,None,0.138460
40,40,kids,CCMM,None,0.066836
40,40,kids,OCCM,None,0.062702
40,40,kids,OMOM,None,0.040308
40,40,kids,CCOM,None,0.030116
40,40,kids,COCM,None,0.030893
40,40,kids,COOM,None,0.049816
41,41,kids,CMOM,None,0.070492
41,41,kids,OMCM,None,0.066931
41,41,kids,CMCM,None,0.076861
41,41,kids,OOCM,None,0.178284
41,41,kids,OCOM,None,0.083702
41,41,kids,OOMM,None,0.210878
41,41,kids,CCMM,None,0.066741
41,41,kids,OCCM,None,0.051444
41,41,kids,OMOM,None,0.043620
41,41,kids,CCOM,None,0.049622
41,41,kids,COCM,None,0.034559
41,41,kids,COOM,None,0.066866
42,42,kids,CMOM,None,0.076415
42,42,kids,OMCM,None,0.038367
42,42,kids,CMCM,None,0.043983
42,42,kids,OOCM,None,0.278505
42,42,kids,OCOM,None,0.067723
