sample,thin_sample,who,which,forward,value
21,21,tsimane,OMOC,None,0.034532
21,21,tsimane,OOCM,None,0.174623
21,21,tsimane,OCCO,None,0.020749
21,21,tsimane,CCOO,None,0.055290
21,21,tsimane,COCO,None,0.024216
21,21,tsimane,COOM,None,0.069991
22,22,tsimane,OMCO,None,0.040345
22,22,tsimane,OCOM,None,0.048118
22,22,tsimane,OOMC,None,0.498399
22,22,tsimane,OMOC,None,0.038695
22,22,tsimane,OOCM,None,0.173276
22,22,tsimane,OCCO,None,0.025927
22,22,tsimane,CCOO,None,0.058287
22,22,tsimane,COCO,None,0.028574
22,22,tsimane,COOM,None,0.088379
23,23,tsimane,OMCO,None,0.034686
23,23,tsimane,OCOM,None,0.067729
23,23,tsimane,OOMC,None,0.488660
23,23,tsimane,OMOC,None,0.028078
23,23,tsimane,OOCM,None,0.177322
23,23,tsimane,OCCO,None,0.028174
23,23,tsimane,CCOO,None,0.060005
23,23,tsimane,COCO,None,0.036545
23,23,tsimane,COOM,None,0.078800
24,24,tsimane,OMCO,None,0.036542
24,24,tsimane,OCOM,None,0.073607
24,24,tsimane,OOMC,None,0.451252
24,24,tsimane,OMOC,None,0.025062
24,24,tsimane,OOCM,None,0.255950
24,24,tsimane,OCCO,None,0.030168
24,24,tsimane,CCOO,None,0.060862
24,24,tsimane,COCO,None,0.030485
24,24,tsimane,COOM,None,0.036072
25,25,tsimane,OMCO,None,0.032165
25,25,tsimane,OCOM,None,0.075824
25,25,tsimane,OOMC,None,0.442619
25,25,tsimane,OMOC,None,0.026596
25,25,tsimane,OOCM,None,0.269974
25,25,tsimane,OCCO,None,0.028032
25,25,tsimane,CCOO,None,0.048850
25,25,tsimane,COCO,None,0.038311
25,25,tsimane,COOM,None,0.037629
26,26,tsimane,OMCO,None,0.026499
26,26,tsimane,OCOM,None,0.112565
26,26,tsimane,OOMC,None,0.521192
26,26,tsimane,OMOC,None,0.015911
26,26,tsimane,OOCM,None,0.225019
26,26,tsimane,OCCO,None,0.016207
26,26,tsimane,CCOO,None,0.017049
26,26,tsimane,COCO,None,0.022961
26,26,tsimane,COOM,None,0.042596
27,27,tsimane,OMCO,None,0.041133
27,27,tsimane,OCOM,None,0.038985
27,27,tsimane,OOMC,None,0.488409
27,27,tsimane,OMOC,None,0.021539
27,27,tsimane,OOCM,None,0.306466
27,27,tsimane,OCCO,None,0.012717
27,27,tsimane,CCOO,None,0.023945
27,27,tsimane,COCO,None,0.032696
27,27,tsimane,COOM,None,0.034109
28,28,tsimane,OMCO,None,0.035558
28,28,tsimane,OCOM,None,0.089288
28,28,tsimane,OOMC,None,0.540260
28,28,tsimane,OMOC,None,0.019329
28,28,tsimane,OOCM,None,0.217013
28,28,tsimane,OCCO,None,0.016202
28,28,tsimane,CCOO,None,0.012994
28,28,tsimane,COCO,None,0.020757
28,28,tsimane,COOM,None,0.048599
29,29,tsimane,OMCO,None,0.045313
29,29,tsimane,OCOM,None,0.075803
29,29,tsimane,OOMC,None,0.416002
29,29,tsimane,OMOC,None,0.043200
29,29,tsimane,OOCM,None,0.269701
29,29,tsimane,OCCO,None,0.024617
29,29,tsimane,CCOO,None,0.042157
29,29,tsimane,COCO,None,0.033034
29,29,tsimane,COOM,None,0.050173
30,30,tsimane,OMCO,None,0.052880
30,30,tsimane,OCOM,None,0.068941
30,30,tsimane,OOMC,None,0.362777
30,30,tsimane,OMOC,None,0.053727
30,30,tsimane,OOCM,None,0.298699
30,30,tsimane,OCCO,None,0.031978
30,30,tsimane,CCOO,None,0.039004
30,30,tsimane,COCO,None,0.043965
30,30,tsimane,COOM,None,0.048029
31,31,tsimane,OMCO,None,0.071235
31,31,tsimane,OCOM,None,0.104509
31,31,tsimane,OOMC,None,0.365145
31,31,tsimane,OMOC,None,0.058497
31,31,tsimane,OOCM,None,0.213883
31,31,tsimane,OCCO,None,0.036397
31,31,tsimane,CCOO,None,0.040057
31,31,tsimane,COCO,None,0.067542
31,31,tsimane,COOM,None,0.042736
32,32,tsimane,OMCO,None,0.074553
32,32,tsimane,OCOM,None,0.101958
32,32,tsimane,OOMC,None,0.350669
32,32,tsimane,OMOC,None,0.059834
32,32,tsimane,OOCM,None,0.222945
32,32,tsimane,OCCO,None,0.033856
32,32,tsimane,CCOO,None,0.035447
32,32,tsimane,COCO,None,0.075978
32,32,tsimane,COOM,None,0.044760
33,33,tsimane,OMCO,None,0.075938
33,33,tsimane,OCOM,None,0.110699
33,33,tsimane,OOMC,None,0.350159
33,33,tsimane,OMOC,None,0.062978
33,33,tsimane,OOCM,None,0.233530
33,33,tsimane,OCCO,None,0.033441
33,33,tsimane,CCOO,None,0.031111
33,33,tsimane,COCO,None,0.065013
33,33,tsimane,COOM,None,0.037131
34,34,tsimane,OMCO,None,0.030021
34,34,tsimane,OCOM,None,0.063855
34,34,tsimane,OOMC,None,0.357750
34,34,tsimane,OMOC,None,0.018009
34,34,tsimane,OOCM,None,0.390058
34,34,tsimane,OCCO,None,0.025091
34,34,tsimane,CCOO,None,0.029949
34,34,tsimane,COCO,None,0.029942
34,34,tsimane,COOM,None,0.055325
35,35,tsimane,OMCO,None,0.033091
35,35,tsimane,OCOM,None,0.079159
35,35,tsimane,OOMC,None,0.348372
35,35,tsimane,OMOC,None,0.020551
35,35,tsimane,OOCM,None,0.354379
35,35,tsimane,OCCO,None,0.025664
35,35,tsimane,CCOO,None,0.035605
35,35,tsimane,COCO,None,0.031704
35,35,tsimane,COOM,None,0.071474
36,36,tsimane,OMCO,None,0.063505
36,36,tsimane,OCOM,None,0.082614
36,36,tsimane,OOMC,None,0.374931
36,36,tsimane,OMOC,None,0.027925
