sample,thin_sample,who,which,forward,value
43,43,monkeys,OCCO,None,0.072357
43,43,monkeys,CCOO,None,0.032613
43,43,monkeys,COCO,None,0.039215
43,43,monkeys,COOM,None,0.046241
44,44,monkeys,OMCO,None,0.158224
44,44,monkeys,OCOM,None,0.031562
44,44,monkeys,OOMC,None,0.237708
44,44,monkeys,OMOC,None,0.185430
44,44,monkeys,OOCM,None,0.182224
44,44,monkeys,OCCO,None,0.070639
44,44,monkeys,CCOO,None,0.048815
44,44,monkeys,COCO,None,0.040640
44,44,monkeys,COOM,None,0.044758
45,45,monkeys,OMCO,None,0.182738
45,45,monkeys,OCOM,None,0.077848
45,45,monkeys,OOMC,None,0.218348
45,45,monkeys,OMOC,None,0.162339
45,45,monkeys,OOCM,None,0.175908
45,45,monkeys,OCCO,None,0.041495
45,45,monkeys,CCOO,None,0.087095
45,45,monkeys,COCO,None,0.017453
45,45,monkeys,COOM,None,0.036775
46,46,monkeys,OMCO,None,0.172111
46,46,monkeys,OCOM,None,0.069200
46,46,monkeys,OOMC,None,0.265827
46,46,monkeys,OMOC,None,0.170759
46,46,monkeys,OOCM,None,0.182084
46,46,monkeys,OCCO,None,0.026146
46,46,monkeys,CCOO,None,0.019912
46,46,monkeys,COCO,None,0.023989
46,46,monkeys,COOM,None,0.069972
47,47,monkeys,OMCO,None,0.219211
47,47,monkeys,OCOM,None,0.077694
47,47,monkeys,OOMC,None,0.228358
47,47,monkeys,OMOC,None,0.186555
47,47,monkeys,OOCM,None,0.101510
47,47,monkeys,OCCO,None,0.050887
47,47,monkeys,CCOO,None,0.023934
47,47,monkeys,COCO,None,0.025243
47,47,monkeys,COOM,None,0.086608
48,48,monkeys,OMCO,None,0.203765
48,48,monkeys,OCOM,None,0.095636
48,48,monkeys,OOMC,None,0.318667
48,48,monkeys,OMOC,None,0.124322
48,48,monkeys,OOCM,None,0.156815
48,48,monkeys,OCCO,None,0.033439
48,48,monkeys,CCOO,None,0.019297
48,48,monkeys,COCO,None,0.016830
48,48,monkeys,COOM,None,0.031228
49,49,monkeys,OMCO,None,0.146086
49,49,monkeys,OCOM,None,0.107868
49,49,monkeys,OOMC,None,0.202474
49,49,monkeys,OMOC,None,0.164560
49,49,monkeys,OOCM,None,0.109643
49,49,monkeys,OCCO,None,0.030311
49,49,monkeys,CCOO,None,0.100091
49,49,monkeys,COCO,None,0.076249
49,49,monkeys,COOM,None,0.062718
50,50,monkeys,OMCO,None,0.133991
50,50,monkeys,OCOM,None,0.105648
50,50,monkeys,OOMC,None,0.191827
50,50,monkeys,OMOC,None,0.236500
